"MD","Trt","mean_diff_all"
"H","All",0
"H","All-B",2.52056644923408
"H","All-K",0.60711369577622
"H","All-KSZnB",-1.00983999166501
"H","All-N",-44.4723847094715
"H","All-P",-13.9783087050872
"H","All-S",1.8067810141305
"H","All-Zn",1.10320061711885
"H","Control",-57.5404934526709
"H","recNP+S2",-1.23562965990097
"LM","All",0
"LM","All-B",3.15473697184637
"LM","All-K",3.34876905110641
"LM","All-KSZnB",6.87311130272867
"LM","All-N",-25.8088225755063
"LM","All-P",-4.95056505106734
"LM","All-S",5.5220871796862
"LM","All-Zn",1.62749109651936
"LM","Control",-37.0964454617083
"LM","recNP+S2",2.23562798790898
