"Region","District","Trt","mean_diff_all"
"Amhara","Debere Eliyas","All",0
"Amhara","Debere Eliyas","All-B",-7.95866130539134
"Amhara","Debere Eliyas","All-K",-18.7958319428898
"Amhara","Debere Eliyas","All-KSZnB",-18.926545600271
"Amhara","Debere Eliyas","All-N",-75.1570455865797
"Amhara","Debere Eliyas","All-P",-29.9034968209753
"Amhara","Debere Eliyas","All-S",-6.34855353236772
"Amhara","Debere Eliyas","All-Zn",-7.74299477235882
"Amhara","Debere Eliyas","Control",-81.1729011115746
"Amhara","Debere Eliyas","recNP+S2",-11.1195200898017
"Amhara","Farta","All",0
"Amhara","Farta","All-B",2.45137923079188
"Amhara","Farta","All-K",-10.9892464284611
"Amhara","Farta","All-KSZnB",-13.9297547369806
"Amhara","Farta","All-N",-54.2983012218142
"Amhara","Farta","All-P",-16.7538599734535
"Amhara","Farta","All-S",0.0708131268863139
"Amhara","Farta","All-Zn",-0.442041069782676
"Amhara","Farta","Control",-63.4108171114665
"Amhara","Farta","recNP+S2",-6.60636064285569
"Amhara","Gonjkolela","All",0
"Amhara","Gonjkolela","All-B",3.37904862685083
"Amhara","Gonjkolela","All-K",-4.90145440698129
"Amhara","Gonjkolela","All-KSZnB",-16.3884954377083
"Amhara","Gonjkolela","All-N",-66.4954774607874
"Amhara","Gonjkolela","All-P",-3.26126047875872
"Amhara","Gonjkolela","All-S",5.66461314351453
"Amhara","Gonjkolela","All-Zn",-0.200795517920126
"Amhara","Gonjkolela","Control",-72.1621499097086
"Amhara","Gonjkolela","recNP+S2",-3.9783728848289
"Amhara","Gozamen","All",0
"Amhara","Gozamen","All-K",-4.5452867923855
"Amhara","Gozamen","All-KSZnB",3.23385161286867
"Amhara","Gozamen","Control",-84.4329116897548
"Amhara","Guna-Begemidir","All",0
"Amhara","Guna-Begemidir","All-B",-6.03312814309121
"Amhara","Guna-Begemidir","All-K",-2.71556314687581
"Amhara","Guna-Begemidir","All-KSZnB",-3.71868184793145
"Amhara","Guna-Begemidir","All-N",-51.9733863366684
"Amhara","Guna-Begemidir","All-P",-4.12749863878874
"Amhara","Guna-Begemidir","All-S",2.55952286142036
"Amhara","Guna-Begemidir","All-Zn",10.7705208606389
"Amhara","Guna-Begemidir","Control",-60.3301008284097
"Amhara","Guna-Begemidir","recNP+S2",6.58352559094403
"Amhara","Lay Gayint","All",0
"Amhara","Lay Gayint","All-B",8.68651392497287
"Amhara","Lay Gayint","All-K",-0.763713812241824
"Amhara","Lay Gayint","All-KSZnB",-12.3661924460993
"Amhara","Lay Gayint","All-N",-57.636486095887
"Amhara","Lay Gayint","All-P",-0.664616952760627
"Amhara","Lay Gayint","All-S",2.89802029394724
"Amhara","Lay Gayint","All-Zn",-5.36683886653047
"Amhara","Lay Gayint","Control",-66.168239146867
"Amhara","Lay Gayint","recNP+S2",-4.40072936270401
"Amhara","Machakel","All",0
"Amhara","Machakel","All-K",4.99179394338448
"Amhara","Machakel","All-KSZnB",9.86232609582879
"Amhara","Machakel","Control",-63.2877796720131
"Amhara","Minjar Shenkora","All",0
"Amhara","Minjar Shenkora","All-KSZnB",0.485264411784017
"Amhara","Minjar Shenkora","Control",-55.9182959044725
"Amhara","Mojana Wodera","All",0
"Amhara","Mojana Wodera","All-B",-1.04305876221934
"Amhara","Mojana Wodera","All-K",3.24939845643197
"Amhara","Mojana Wodera","All-KSZnB",-12.6020863670493
"Amhara","Mojana Wodera","All-N",-71.7962942011989
"Amhara","Mojana Wodera","All-P",-35.2848242172085
"Amhara","Mojana Wodera","All-S",-7.77849961800307
"Amhara","Mojana Wodera","All-Zn",-11.2276747912329
"Amhara","Mojana Wodera","Control",-77.4046079567065
"Amhara","Mojana Wodera","recNP+S2",-2.49743059688358
"Amhara","Moretina Joru","All",0
"Amhara","Moretina Joru","All-B",1.20681113591217
"Amhara","Moretina Joru","All-K",0.214292688270891
"Amhara","Moretina Joru","All-KSZnB",-2.15430733322995
"Amhara","Moretina Joru","All-N",-75.8711201914019
"Amhara","Moretina Joru","All-P",-4.67446256754644
"Amhara","Moretina Joru","All-S",-7.14023786082054
"Amhara","Moretina Joru","All-Zn",1.4300873190959
"Amhara","Moretina Joru","Control",-76.2256933854236
"Amhara","Moretina Joru","recNP+S2",7.1188398397207
"Amhara","Wonberma","All",0
"Amhara","Wonberma","All-B",-1.72325241836795
"Amhara","Wonberma","All-K",-3.5113387379559
"Amhara","Wonberma","All-KSZnB",-3.20544598955534
"Amhara","Wonberma","All-N",-48.9752344979398
"Amhara","Wonberma","All-P",-1.59922862859341
"Amhara","Wonberma","All-S",-0.509922111550513
"Amhara","Wonberma","All-Zn",0.556627274301324
"Amhara","Wonberma","Control",-58.2371783325049
"Amhara","Wonberma","recNP+S2",-5.51732395164727
"Amhara","Yilmana densa","All",0
"Amhara","Yilmana densa","All-B",0.388335861645036
"Amhara","Yilmana densa","All-K",-1.24859764743772
"Amhara","Yilmana densa","All-KSZnB",-15.8012773646075
"Amhara","Yilmana densa","All-N",-73.827926813746
"Amhara","Yilmana densa","All-P",-22.4317978649835
"Amhara","Yilmana densa","All-S",-1.35971138742562
"Amhara","Yilmana densa","All-Zn",4.65075018907093
"Amhara","Yilmana densa","Control",-87.7831214597553
"Amhara","Yilmana densa","recNP+S2",-8.68453432290079
"Oromia","Adaba","All",0
"Oromia","Adaba","All-B",-3.55469456126778
"Oromia","Adaba","All-K",-0.570463549242896
"Oromia","Adaba","All-KSZnB",2.66185400263861
"Oromia","Adaba","All-N",-29.0187102944462
"Oromia","Adaba","All-P",-16.6571140208318
"Oromia","Adaba","All-S",10.1462000935113
"Oromia","Adaba","All-Zn",9.43960709965478
"Oromia","Adaba","Control",-25.889912991037
"Oromia","Adaba","recNP+S2",3.17175820830521
"Oromia","Agarfa","All",0
"Oromia","Agarfa","All-B",16.4892661903603
"Oromia","Agarfa","All-K",-2.14745011012175
"Oromia","Agarfa","All-KSZnB",-0.656317589439942
"Oromia","Agarfa","All-N",-3.37190652629618
"Oromia","Agarfa","All-P",-18.4828234752985
"Oromia","Agarfa","All-S",16.6964161484358
"Oromia","Agarfa","All-Zn",15.4443001357274
"Oromia","Agarfa","Control",-65.9495629070635
"Oromia","Agarfa","recNP+S2",-50.3572924027465
"Oromia","Ambo","All",0
"Oromia","Ambo","All-K",52.9112526151445
"Oromia","Ambo","All-KSZnB",30.6444281194941
"Oromia","Ambo","Control",-66.9294029903051
"Oromia","Arda Jila mi'o","All",0
"Oromia","Arda Jila mi'o","All-B",34.5357555786702
"Oromia","Arda Jila mi'o","All-K",-25.5964800481281
"Oromia","Arda Jila mi'o","All-KSZnB",18.016220873301
"Oromia","Arda Jila mi'o","All-N",-32.4543150803264
"Oromia","Arda Jila mi'o","All-P",-48.0604025997221
"Oromia","Arda Jila mi'o","All-S",29.2806081749727
"Oromia","Arda Jila mi'o","All-Zn",-2.47752269862329
"Oromia","Arda Jila mi'o","Control",-40.4589042361363
"Oromia","Arda Jila mi'o","recNP+S2",15.9762368079598
"Oromia","Bora","All",0
"Oromia","Bora","All-B",-2.88900139605042
"Oromia","Bora","All-K",-1.7381277564742
"Oromia","Bora","All-KSZnB",1.10733369458249
"Oromia","Bora","All-N",-23.2920763820969
"Oromia","Bora","All-P",9.00723365238532
"Oromia","Bora","All-S",4.58849926191607
"Oromia","Bora","All-Zn",-0.913822437910858
"Oromia","Bora","Control",-29.7723637488691
"Oromia","Bora","recNP+S2",3.48391011187184
"Oromia","Chelia","All",0
"Oromia","Chelia","All-B",-0.211132117832596
"Oromia","Chelia","All-K",1.76540133838412
"Oromia","Chelia","All-KSZnB",-10.7411239763077
"Oromia","Chelia","All-N",-62.9006842911048
"Oromia","Chelia","All-P",-6.90347347412369
