"Region","MD","Trt","mean_diff_all"
"Amhara","H","All",0
"Amhara","H","All-B",-0.999158396842725
"Amhara","H","All-K",-3.38275607885248
"Amhara","H","All-KSZnB",-3.70923545661254
"Amhara","H","All-N",-63.8443377173727
"Amhara","H","All-P",-13.1170019316923
"Amhara","H","All-S",-2.98822615113194
"Amhara","H","All-Zn",-0.835052487857171
"Amhara","H","Control",-67.4957916420334
"Amhara","H","recNP+S2",-2.38889476856606
"Oromia","H","All",0
"Oromia","H","All-B",4.28691678196074
"Oromia","H","All-K",3.10383033998333
"Oromia","H","All-KSZnB",0.266838579417896
"Oromia","H","All-N",-40.4704885686641
"Oromia","H","All-P",-15.6971069655055
"Oromia","H","All-S",4.27845010095964
"Oromia","H","All-Zn",1.55484116096545
"Oromia","H","Control",-57.197147512221
"Oromia","H","recNP+S2",-0.582357053359187
"Oromia","LM","All",0
"Oromia","LM","All-B",-0.899957725003367
"Oromia","LM","All-K",3.76260462338447
"Oromia","LM","All-KSZnB",8.36073428745865
"Oromia","LM","All-N",-24.7452631919234
"Oromia","LM","All-P",-3.68710314622071
"Oromia","LM","All-S",3.78273323771278
"Oromia","LM","All-Zn",-0.458679806654436
"Oromia","LM","Control",-35.9681810629722
"Oromia","LM","recNP+S2",1.29304411458219
"SNNPR","H","All",0
"SNNPR","H","All-B",2.95167266043857
"SNNPR","H","All-K",1.17658301297597
"SNNPR","H","All-KSZnB",1.3575609197257
"SNNPR","H","All-N",-30.3711955547559
"SNNPR","H","All-P",-11.445711990967
"SNNPR","H","All-S",2.26013447083355
"SNNPR","H","All-Zn",2.40903721879975
"SNNPR","H","Control",-41.5462049104804
"SNNPR","H","recNP+S2",-1.24716619262988
"SNNPR","LM","All",0
"SNNPR","LM","All-B",12.3453782847058
"SNNPR","LM","All-K",2.68663213546152
"SNNPR","LM","All-KSZnB",4.49291452716071
"SNNPR","LM","All-N",-28.2195571782942
"SNNPR","LM","All-P",-7.81441203538637
"SNNPR","LM","All-S",9.46462278149261
"SNNPR","LM","All-Zn",6.35614514371329
"SNNPR","LM","Control",-38.9016684996861
"SNNPR","LM","recNP+S2",4.37215143411638
