"Region","Soil_table","Trt","mean_diff_all"
"Amhara","Cambisols","All",0
"Amhara","Cambisols","All-B",0.419077227301952
"Amhara","Cambisols","All-K",-6.41876037485498
"Amhara","Cambisols","All-KSZnB",-10.6255280417249
"Amhara","Cambisols","All-N",-55.2494808282152
"Amhara","Cambisols","All-P",-9.25820147129995
"Amhara","Cambisols","All-S",1.83605050325201
"Amhara","Cambisols","All-Zn",2.77508487981506
"Amhara","Cambisols","Control",-63.6626622208523
"Amhara","Cambisols","recNP+S2",-1.67266311623595
"Amhara","Nitisols","All",0
"Amhara","Nitisols","All-B",-2.88618183762136
"Amhara","Nitisols","All-K",-4.6490898891959
"Amhara","Nitisols","All-KSZnB",-3.32942574454411
"Amhara","Nitisols","All-N",-60.1805670793134
"Amhara","Nitisols","All-P",-12.581402408512
"Amhara","Nitisols","All-S",-2.1289154559814
"Amhara","Nitisols","All-Zn",-0.750630190844411
"Amhara","Nitisols","Control",-72.8615764233028
"Amhara","Nitisols","recNP+S2",-7.51172493079591
"Amhara","Vertisols","All",0
"Amhara","Vertisols","All-B",0.341476559707743
"Amhara","Vertisols","All-K",1.38164106064054
"Amhara","Vertisols","All-KSZnB",-2.1375637050123
"Amhara","Vertisols","All-N",-74.3038794259393
"Amhara","Vertisols","All-P",-16.4476785866472
"Amhara","Vertisols","All-S",-7.38572315204459
"Amhara","Vertisols","All-Zn",-3.43828272333827
"Amhara","Vertisols","Control",-64.0968031804961
"Amhara","Vertisols","recNP+S2",3.42027428718059
"Oromia","Andosols","All",0
"Oromia","Andosols","All-B",-1.47499229117782
"Oromia","Andosols","All-K",7.24410630413976
"Oromia","Andosols","All-KSZnB",13.6907958398949
"Oromia","Andosols","All-N",-24.2978492967831
"Oromia","Andosols","All-P",6.40708563243481
"Oromia","Andosols","All-S",7.10606275536322
"Oromia","Andosols","All-Zn",0.784150617254942
"Oromia","Andosols","Control",-31.6458662246919
"Oromia","Andosols","recNP+S2",7.09209875664082
"Oromia","Arenosols","All",0
"Oromia","Arenosols","All-B",-18.7886532668002
"Oromia","Arenosols","All-K",10.9840257719126
"Oromia","Arenosols","All-KSZnB",-5.61652388388788
"Oromia","Arenosols","All-N",-11.054900119756
"Oromia","Arenosols","All-P",13.6297537635059
"Oromia","Arenosols","All-S",5.81684974626788
"Oromia","Arenosols","All-Zn",-24.8005990131273
"Oromia","Arenosols","Control",-36.0878190722347
"Oromia","Arenosols","recNP+S2",-4.15122186635555
"Oromia","Nitisols","All",0
"Oromia","Nitisols","All-B",3.49496120831457
"Oromia","Nitisols","All-K",3.03226058507948
"Oromia","Nitisols","All-KSZnB",0.641054017905286
"Oromia","Nitisols","All-N",-42.4645531790736
"Oromia","Nitisols","All-P",-16.6043699745358
"Oromia","Nitisols","All-S",3.81953313812936
"Oromia","Nitisols","All-Zn",1.05141034941487
"Oromia","Nitisols","Control",-57.7356739718536
